City,Library,SaleDetails
"Tolland, CT",Tolland Library,Ongoing
"Trumbull, CT",No Name Found,Bookstore
"Wallingford, CT",Wallingford Public Library,Bookstore
"Warren, CT",Warren Public Library,Ongoing
"Waterbury, CT",Silas Bronson Library,Ongoing
"West Granby, CT",Friends of Granby Public Libraries,July 26 - 28
"West Hartford, CT",Bishop's Corner Branch Libray,Ongoing
"Westbrook, CT",Westbrook Public Library,Bookstore
"Westport, CT",Westport Library,Bookstore
"Willimantic, CT",Willimantic Public Library,Ongoing
"Willington, CT",Willington Public Library,Ongoing
"Wilton, CT",The Wilton Library,Sept 27 - 30
"Windsor, CT",First Church in Windsor,Nov 2
"Windsor Locks, CT",Windsor Locks Public Library,Ongoing
"Woodbridge, CT",Woodbridge Library,June
"Woodbury, CT",Woodbury Public Library,Bookstore
"Gainesville, FL",Friends of the Library - Alachua County Library District,Oct 26 - 30
"Lexington, KY",Lexington Central Library,Oct
"Belchertown, MA",Friends of Clapp Memorial Library,Oct 14 - 19
"Burlington, MA",Used Book Superstore,June 17 - 23
"Greenfield, MA","CD, DVD &amp; Book Bin Sale",July 5 - 7
"Lenox, MA",Lenox Library Association,Sept 14 - 15
"Medford, MA",Medford Public Library,Sept 20 - 22
"Natick, MA",Friends of Morse Institute Library,Sept 28 - 29
"Needham, MA",Friends of the Needham Public Library,Oct
"Pittsfield, MA",Summer Book Sale,July 11 - 13
"Stockbridge, MA","Stockbridge Library, Museum &amp; Archives",July 11 - 14
"Wellesley, MA",Friends of the Wellesley Free Libraries,Oct
"Westford, MA",J. V. Fletcher Library,Oct
"Westport, MA",No Name Found,July 13 - 22
"Camden, ME",Camden Public Library,July 4 - 7
"Detroit, MI",Festival of Books!,July 21
"Auburn, NH",Friends of Griffin Free Public Library,July 27 - 28
"Bernardsville, NJ",No Name Found,Aug 1 - 3
"Ewing Township, NJ",Friends of the Ewing Library,Sept
"Livingston, NJ",Livingston Public Library,Oct
"Montclair, NJ",College Women's Club of Montclair,Nov 14 - 17
"Mullica Hill, NJ",Friends of the Gloucester County Library System,Sept
"Ocean (Monmouth County), NJ",Ocean Township Library,July 17 - 18
"Princeton, NJ",Friends and Foundation of Princeton Public Library,Sept 20 - 22
"Auburn, NY",Auburn Book Bonanza,July 26 - 28
"Corning, NY",Friends of the Southeast Steuben County Library,Oct
"Deansboro, NY",Berry Hill Book Shop,July 5 - 28
"Pleasantville, NY",Mt. Pleasant Public Library,Oct
"West Shokan, NY",Olive Free Library,June 22
"Toronto (St. Michael's College), ON",at the John M. Kelly Library (first floor),Sept 25 - 28
"Toronto (Trinity College), ON","Toronto (Trinity College), ON",Oct 23 - 27
"Toronto (University College), ON","Toronto (University College), ON",Sept 26 - 29
"Toronto (Victoria College), ON","Toronto (Victoria College), ON",Sept 19 - 23
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
"Bennington, VT","Vermont Book, Postcard &amp; Ephemera Fair",Aug 11
