City,Library,SaleDetails
"San Antonio, TX",John Igo Branch Library,July; Oct
"San Antonio, TX",Parman Library,Nov
"San Antonio, TX",Encino Library,Oct
"San Marcos, TX",San Marcos Public Library,July 12 - 14; Oct 18 - 20
"Sanger, TX",Sanger Public Library,Sept 13 - 14
"Seven Points, TX",Library at Cedar Creek Lake,Sept
"Sherman, TX",Sherman Public Library,July 20; Sept 21
"Southlake, TX",Southlake Library,Ongoing
"Spring, TX",Barbara Bush Library,Bookstore
"Stanton, TX",Martin County Library,Ongoing
"Sugar Land, TX",First Colony Library,July 20; Aug 3; Oct 5; Dec 7
"Sugar Land, TX",University Branch Library,Sept 14
"Temple, TX",Friends of Temple Public Library,Aug 27 - 31
"Texarkana, TX",Friends of Texarkana Public Library,Ongoing
"The Colony, TX",The Colony Public Library,Ongoing
"Van Alstyne, TX",Friends of Van Alstyne Public Library,Oct
"Waco, TX",Friends of the Waco-McLennan County Library,Nov
"Watauga, TX",Watauga Public Library,Ongoing
"Waxahachie, TX",Friends of Sims Library,Oct
"Weatherford, TX",Weatherford Public Library,Oct
"Weslaco, TX",Weslaco Public Library,Bookstore
"Wharton, TX",Friends of the Wharton County Library Bookstore,Ongoing
"Whitewright, TX",Whitewright Public Library,Oct
"Wichita Falls, TX",Friends Book Warehouse,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Wolfforth, TX",Wolfforth Library,Dec
