City,Library,SaleDetails
"LaGrange, OH",No Name Found,Nov
"Lakewood, OH",Lakewood Public Library,Bookstore
"Lancaster, OH",Fairfield County District Library,Bookstore
"Lima, OH",No Name Found,Sept 3 - 7
"Lithopolis, OH",Wagnalls Memorial Library,Ongoing
"Lodi, OH",Lodi Library,Sept 6 - 7; Dec 6 - 7
"Lorain, OH",Lorain Public Library,Sept
"Madison, OH",Madison Public Library,Aug
"Magnolia, OH",Sandy Valley Branch Library,Ongoing
"Mansfield, OH",Friends of Mansfield/Richland County Library,July 5 - 6; Aug 2 - 3; Sept 6 - 7; Oct 4 - 5; Nov 1 - 2; Dec 6 - 7
"Maple Heights, OH",Maple Heights Regional Library,Ongoing
"Marblehead, OH",Ex Libris Used Bookstore,Bookstore
"Marietta, OH",Washington County Public Library Annex,Nov
"Mason, OH",Mason Library,Nov
"Massillon, OH",Massillon Public Library,June 29; July 27; Aug 31; Sept 28; Oct 26
"Medina, OH",Medina Library,June 22
"Medina, OH",The BookShelf,Bookstore
"Medina, OH",Buckeye Library,Ongoing
"Medina, OH",Highland Library,Oct 18 - 19
"Mentor, OH","Read House, adjacent to Mentor Public Library",Ongoing
"Middleburg Heights, OH",Middleburg Heights Branch Library,Ongoing
"Middlefield, OH",Middlefield Library,Ongoing
"Middletown, OH",at 2204 Central Ave,Sept
"Milan, OH",Milan Public Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Mount Vernon, OH",Public Library of Mt. Vernon &amp; Knox Cty,Bookstore
"Mt. Gilead, OH",Mt. Gilead Public Library,Oct
"New London, OH",New London Public Library,Aug 30 - 31
"New Paris, OH",New Paris Branch Library,Oct
"North Canton, OH",North Canton Public Library,Aug 22 - 24
"North Ridgeville, OH",North Ridgeville Branch Library,Oct 17 - 20
"North Royalton, OH",North Royalton Branch Library,Ongoing
"Northfield, OH",Nordonia Hills Branch Library,Sept 13 - 14
"Orrville, OH",Orrville Public Library,Oct
"Painesville, OH",Painesville Morley Library,Nov
"Parma, OH",Parma Branch Library,Ongoing
"Parma Heights, OH",No Name Found,Ongoing
"Pepper Pike, OH",Orange Library,Ongoing
"Perrysburg, OH",Way Public Library,Nov 7 - 9
"Pickerington, OH",Pickerington Public Library,Nov
"Poland, OH",Public Library of Youngstown &amp; Mahoning County,Bookstore
"Powell, OH",No Name Found,Oct 5
"Powell, OH",Liberty Branch Library,Aug 10
"Randolph (Atwater), OH",Friends of the Randolph Library,Aug 22 - 24
"Ravenna, OH",Reed Memorial Library,Nov
"Saint Marys, OH",St. Marys Community Public Library,Aug
"Seville, OH",Seville Library,Ongoing
"Shaker Heights, OH",Shaker Heights Public Library,Oct
"Shelby, OH",Marvin Memorial Library,July; Nov
"Solon, OH",Solon Library,Oct
"South Euclid, OH",Clara Fritzsche Library,Ongoing
"St. Paris, OH",St. Paris Public Library,Ongoing
"Stow, OH",Stow-Munroe Falls Public Library,Oct
"Strongsville, OH",Strongsvlle Library,Ongoing
"Tallmadge, OH",Tallmadge Branch Library,Oct 25 - 26
"Thompson, OH",Thompson Branch Library,July 20
"Troy, OH",Friends of Troy-Miami County Public Library at Miami County Fairgrounds,Oct
"Twinsburg, OH",Twinsburg Public Library,Bookstore
"Uniontown, OH",Lake Community Library,June 20 - 22
"Urbana, OH",Champaign County Library,Oct 3 - 5
"Vermilion, OH",Ritter Public Library,June
"Wadsworth, OH",Wadsworth Public Library,Oct
"Warren, OH",Warren-Trumbull County Public Library,Ongoing
"Warrensville Heights, OH",Warrensville Branch Library,Ongoing
"Washington Court House, OH",Carnegie Public Library with Fayette County AAUW,Sept
"West Manchester, OH",West Manchester Library,Ongoing
"Westlake, OH",Porter Public Library,Oct 17 - 20
"Wilmington, OH",Wilmington Public Library,Ongoing
"Wooster, OH",Wayne County Public Library,July 11 - 13
"Wooster, OH",AAUW and Kiwanis Club of Wooster,Sept 24 - 28
"Wooster, OH",at Wayne County Fairgrounds,Aug 2 - 3
"Worthington, OH",Old Worthington Library,Aug 16 - 18; Nov 15 - 17
"Toronto (St. Michael's College), ON",at the John M. Kelly Library (first floor),Sept 25 - 28
"Toronto (Trinity College), ON","Toronto (Trinity College), ON",Oct 23 - 27
"Toronto (University College), ON","Toronto (University College), ON",Sept 26 - 29
"Toronto (Victoria College), ON","Toronto (Victoria College), ON",Sept 19 - 23
"Bethlehem, PA",Bethlehem Area Public Library,July 17 - 20
"Exton, PA",Chester County Library,Oct
"Harrisburg, PA",East Shore Area Library,Oct
"Harrisburg, PA",Midtown Scholar Bookstore,Oct
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
"Lancaster, PA",Bookworm Frolic!,Sept 12 - 21
"Lebanon, PA",Garman's Book Sale,Aug 9 - 10
"Levittown, PA",Levittown Library,Oct
"Mechanicsburg, PA",Friends of the Joseph T. Simpson Public Library Book Sale,Aug 9 - 11
"Media, PA",Media-Upper Providence Free Library,Oct 19 - 21
"Mount Joy, PA",Friends of Milanof-Schock Library,June 20 - 22
"New Milford, PA",Harford Fair!,Aug 12 - 17
"Wayne, PA",Friends of the Radnor Library,Oct
